original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	n	n_cum	f	f_cum
33 x 42 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479833	0	99.7
34 x 11 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479835	0	99.7
34 x 12 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479837	0	99.7
34 x 25 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479839	0	99.7
34cm (1/2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	2	479841	0	99.7
35 cm. (1/2⁰)	2fo	NA	35	FALSE	2fo	23	35	0	805	2	479843	0	99.7
35 cm. (fol)	2fo	NA	35	FALSE	2fo	23	35	0	805	2	479845	0	99.7
35 x 24 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479847	0	99.7
35 x 27 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479849	0	99.7
35 x 42 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479851	0	99.7
36 cm. (2⁰)	2fo	NA	36	FALSE	2fo	24	36	0	864	2	479853	0	99.7
36 x 13 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479855	0	99.7
36 x 14 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479857	0	99.7
36 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479859	0	99.7
36 x 31 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479861	0	99.7
37 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479863	0	99.7
37 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479865	0	99.7
37 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479867	0	99.7
37 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479869	0	99.7
37 x 28 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479871	0	99.7
37-46 cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	2	479873	0	99.7
37-47 cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	2	479875	0	99.7
37cm. (1/2⁰)	2fo	NA	37	FALSE	2fo	25	37	0	925	2	479877	0	99.7
38 cm (1/2⁰)	2fo	NA	38	FALSE	2fo	25	38	0	950	2	479879	0	99.7
38 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479881	0	99.7
38 x 28 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479883	0	99.7
38-42 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479885	0	99.7
38-43 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479887	0	99.7
38-46 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479889	0	99.7
39 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479891	0	99.7
39 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479893	0	99.7
39 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479895	0	99.7
39-43 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479897	0	99.7
39-44 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479899	0	99.7
4	4to	NA	NA	FALSE	4to	22	28	0	616	2	479901	0	99.7
4⁰ ⁸.⁶.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479903	0	99.7
40 cm (1⁰)	1to	NA	40	FALSE	2fo	26	40	0	1040	2	479905	0	99.7
40 cm. (1/2⁰)	2fo	NA	40	FALSE	2fo	26	40	0	1040	2	479907	0	99.7
4⁰ in 2.	4to	NA	NA	FALSE	4to	22	28	0	616	2	479909	0	99.7
4⁰ in 2s.	4to	NA	NA	FALSE	4to	22	28	0	616	2	479911	0	99.7
4⁰ in 8's	4to	NA	NA	FALSE	4to	22	28	0	616	2	479913	0	99.7
4⁰ mostly in 8's.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479915	0	99.7
40 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479917	0	99.7
40 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479919	0	99.7
40-49 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479921	0	99.7
4⁰?.	4to	NA	NA	FALSE	4to	22	28	0	616	2	479923	0	99.7
40.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479925	0	99.7
4⁰. in 8's.	4to	NA	NA	FALSE	4to	22	28	0	616	2	479927	0	99.7
4⁰.⁰.	4to	NA	NA	FALSE	4to	22	28	0	616	2	479929	0	99.7
4⁰&amp;2⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479931	0	99.7
4⁰⁴.⁶.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479933	0	99.7
41 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479935	0	99.7
41 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479937	0	99.7
41-48 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479939	0	99.7
42 cm (1⁰)	1to	NA	42	FALSE	2fo	27	42	0	1134	2	479941	0	99.7
42 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479943	0	99.7
42 x 28 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479945	0	99.7
42 x 36 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479947	0	99.7
43 x 14 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479949	0	99.7
43 x 17 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479951	0	99.7
43 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479953	0	99.7
43 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479955	0	99.7
43-51 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479957	0	99.7
44 cm (1⁰)	1to	NA	44	FALSE	2fo	29	44	0	1276	2	479959	0	99.7
44 x 25 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479961	0	99.7
44 x 29 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479963	0	99.7
44 x 31 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479965	0	99.7
44 x 32 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479967	0	99.7
44-50 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479969	0	99.7
44-54 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479971	0	99.7
44-68 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479973	0	99.7
45 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479975	0	99.7
45 x 32 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479977	0	99.7
46 x 17 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479979	0	99.7
46 x 26 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479981	0	99.7
46 x 31 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479983	0	99.7
46-51 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479985	0	99.7
47 cm. (2⁰)	2fo	NA	47	FALSE	2fo	30	47	0	1410	2	479987	0	99.7
47 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479989	0	99.7
47 x 29 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479991	0	99.7
47 x 40 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479993	0	99.7
47-49 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479995	0	99.7
47-51 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479997	0	99.7
47-56 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	479999	0	99.7
48 x 16 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480001	0	99.7
48-50 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480003	0	99.7
49 x 29 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480005	0	99.7
49 x 40 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480007	0	99.7
49 x 43 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480009	0	99.7
49-53 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480011	0	99.7
4�	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480013	0	99.7
5.5 cm.	NA	NA	5.5	FALSE	NA	4	5.5	NA	22	2	480015	0	99.7
50 x 36 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480017	0	99.7
50 x 37 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480019	0	99.7
5⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480021	0	99.7
51 cm. (2⁰)	2fo	NA	51	FALSE	2fo	32	51	0	1632	2	480023	0	99.7
51 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480025	0	99.7
51-52 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480027	0	99.7
51-57 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480029	0	99.7
52 cm (2⁰)	2fo	NA	52	FALSE	2fo	33	52	0	1716	2	480031	0	99.7
52 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480033	0	99.7
52 x 43 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480035	0	99.7
53 x 33 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480037	0	99.7
54 cm.	NA	NA	54	FALSE	NA	34	54	NA	1836	2	480039	0	99.7
54 x 43 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480041	0	99.7
55 x 44 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480043	0	99.7
55 x 45 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480045	0	99.7
56 cm.	NA	NA	56	FALSE	NA	35	56	NA	1960	2	480047	0	99.7
57 x 47 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480049	0	99.7
57 x 49 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480051	0	99.7
6 x 12 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480053	0	99.7
6 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480055	0	99.7
60 cm.	NA	NA	60	FALSE	NA	36	60	NA	2160	2	480057	0	99.7
62 x 50 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480059	0	99.7
64 cm.	NA	NA	64	FALSE	NA	39	64	NA	2496	2	480061	0	99.7
64 x 41 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480063	0	99.7
64 x 44 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480065	0	99.7
66 cm.	NA	NA	66	FALSE	NA	40	66	NA	2640	2	480067	0	99.7
7 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480069	0	99.7
8 ⁰.	8vo	NA	NA	FALSE	8vo	13	19	0	247	2	480071	0	99.7
8 cm.	NA	NA	8	FALSE	NA	6	8	NA	48	2	480073	0	99.7
8 x 10 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480075	0	99.7
8?⁰.	8vo	NA	NA	FALSE	8vo	13	19	0	247	2	480077	0	99.7
8$.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480079	0	99.7
8⁰ (18 cm.).	8vo	NA	18	FALSE	8vo	12	18	0	216	2	480081	0	99.7
8⁰ (23 cm.).	8vo	NA	23	FALSE	8vo	15	23	0	345	2	480083	0	99.7
8⁰ (23.5 cm.).	8vo	NA	23.5	FALSE	8vo	15	23.5	0	352.5	2	480085	0	99.7
8⁰ and 4⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480087	0	99.7
8⁰; 4⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480089	0	99.7
80.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480091	0	99.7
8⁰.; octavo	8vo	NA	NA	FALSE	8vo	13	19	0	247	2	480093	0	99.7
8⁰&amp;4⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480095	0	99.7
8⁰⁰.	8vo	NA	NA	FALSE	8vo	13	19	0	247	2	480097	0	99.7
8⁹.	8vo	NA	NA	FALSE	8vo	13	19	0	247	2	480099	0	99.7
8�	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480101	0	99.7
8�.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480103	0	99.7
b1⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480105	0	99.7
caption title; folio	2fo	NA	NA	FALSE	2fo	30	45	0	1350	2	480107	0	99.7
large obl. 4⁰.	4to	NA	NA	TRUE	4to	28	22	1	616	2	480109	0	99.7
lon. 24⁰.	24long	NA	NA	FALSE	24long	9.5	14	0	133	2	480111	0	99.7
Long 24⁰.	24long	NA	NA	FALSE	24long	9.5	14	0	133	2	480113	0	99.7
obl 4⁰	4to	NA	NA	TRUE	4to	28	22	1	616	2	480115	0	99.7
obl. 1⁰	1to	NA	NA	TRUE	2fo	45	30	1	1350	2	480117	0	99.7
obl. 16⁰? in 8's.	16mo	NA	NA	TRUE	16mo	15	12	1	180	2	480119	0	99.7
obl./2⁰.	NA	NA	NA	TRUE	NA	NA	NA	1	NA	2	480121	0	99.7
obl.2⁰ and 4⁰.	NA	NA	NA	TRUE	NA	NA	NA	1	NA	2	480123	0	99.7
obl.4⁰ and 4⁰.	4to	NA	NA	TRUE	4to	28	22	1	616	2	480125	0	99.7
obl.48⁰.	48mo	NA	NA	TRUE	48mo	10	6.5	1	65	2	480127	0	99.7
obl.8⁰	8vo	NA	NA	TRUE	8vo	19	13	1	247	2	480129	0	99.7
s.sh.16⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480131	0	99.7
s.sh.8⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	2	480133	0	99.7
sm. 8⁰.	8small	NA	NA	FALSE	8small	11	17	0	187	2	480135	0	99.7
square 12⁰.	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	2	480137	0	99.7
;8⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480138	0	99.7
(1/12&quot;)	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480139	0	99.7
(1/2⁰).	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480140	0	99.7
(1/4⁰)	4to	NA	NA	FALSE	4to	22	28	0	616	1	480141	0	99.7
(12 mo)	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	1	480142	0	99.7
(12mo &amp; 8vo)	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480143	0	99.7
(15 x 17 cm.)	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480144	0	99.7
(16 cm.)	NA	NA	16	FALSE	NA	11	16	NA	176	1	480145	0	99.7
(16 cm.) 12⁰	12mo	NA	16	FALSE	12mo	11.5	16	0	184	1	480146	0	99.7
(18 cm.)	NA	NA	18	FALSE	NA	12	18	NA	216	1	480147	0	99.7
(20 cm.) 8⁰.	8vo	NA	20	FALSE	8vo	13	20	0	260	1	480148	0	99.7
(21 cm. 8vo)	8vo	NA	21	FALSE	8vo	14	21	0	294	1	480149	0	99.7
(4⁰)	4to	NA	NA	FALSE	4to	22	28	0	616	1	480150	0	99.7
(48mo)	48mo	NA	NA	FALSE	48mo	6.5	10	0	65	1	480151	0	99.7
(8v0)	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480152	0	99.7
(8vo)	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	480153	0	99.7
(fol.0.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480154	0	99.7
(fol)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480155	0	99.7
1 ]d0	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480156	0	99.7
1 /4⁰.	4to	NA	NA	FALSE	4to	22	28	0	616	1	480157	0	99.7
1 D0.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480158	0	99.7
1.2⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480159	0	99.7
1/12⁰	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	1	480160	0	99.7
1/18⁰.	18mo	NA	NA	FALSE	18mo	10	16	0	160	1	480161	0	99.7
1/2 and 2⁰.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480162	0	99.7
1/2 D0.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480163	0	99.7
1/2 dDG.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480164	0	99.7
1/2$.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480165	0	99.7
1/2⁰ (26 cm.).	2fo	NA	26	FALSE	2fo	17	26	0	442	1	480166	0	99.7
1/2⁰ (28-30 cm.).	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480167	0	99.7
1/2⁰ (31 cm.)	2fo	NA	31	FALSE	2fo	20	31	0	620	1	480168	0	99.7
1/2⁰ (31 x 18 cm)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480169	0	99.7
1/2⁰ (31 x 20 cm)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480170	0	99.7
1/2⁰ (31 x 21 cm)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480171	0	99.7
1/2⁰ (33 x 18)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480172	0	99.7
1/2⁰ (34 x 15 cm)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480173	0	99.7
1/2⁰ (34 x 21 cm)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480174	0	99.7
1/2⁰ (35 x 23 cm)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480175	0	99.7
1/2⁰ (35 x 27 cm)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480176	0	99.7
1/2⁰ (37 cm.).	2fo	NA	37	FALSE	2fo	25	37	0	925	1	480177	0	99.7
1/2⁰ (37 x 11 cm)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480178	0	99.7
1/2⁰ (38 cm.)	2fo	NA	38	FALSE	2fo	25	38	0	950	1	480179	0	99.7
1/2⁰ (40 x 25 cm)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480180	0	99.7
1/2⁰ (42 x 21 cm)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480181	0	99.7
1/2⁰ (45 x 18 cm)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480182	0	99.7
1/2⁰ (47 x 21 cm)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480183	0	99.7
1/2⁰ and 1/4⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480184	0	99.8
1/2⁰ etc.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480185	0	99.8
1/2⁰ parchment.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480186	0	99.8
1/2⁰-2⁰.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480187	0	99.8
1/2⁰; 35.5 x 22.5 cm.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480188	0	99.8
1/2⁰?	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480189	0	99.8
1/2⁰? (34.5 x 16 cm.)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480190	0	99.8
1/2⁰.̊	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480191	0	99.8
1/2⁰.̃	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480192	0	99.8
1/2⁰. .	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480193	0	99.8
1/2⁰./	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480194	0	99.8
1/2⁰.⁰.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480195	0	99.8
1/2⁰(?)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480196	0	99.8
1/2⁰(stet)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480197	0	99.8
1/2⁰&amp;1⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480198	0	99.8
1/2⁰⁰.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480199	0	99.8
1/21⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480200	0	99.8
1/24.	24mo	NA	NA	FALSE	24mo	8.5	12.5	0	106.25	1	480201	0	99.8
1/2�	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480202	0	99.8
1/4$.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480203	0	99.8
1/4⁰ .	4to	NA	NA	FALSE	4to	22	28	0	616	1	480204	0	99.8
1/4⁰ (21 x 18 cm)	4to	NA	NA	FALSE	4to	22	28	0	616	1	480205	0	99.8
1/4⁰ (21 x 19 cm.)	4to	NA	NA	FALSE	4to	22	28	0	616	1	480206	0	99.8
1/4⁰ (23 x 19 cm)	4to	NA	NA	FALSE	4to	22	28	0	616	1	480207	0	99.8
1/4⁰ (25 x 20 cm)	4to	NA	NA	FALSE	4to	22	28	0	616	1	480208	0	99.8
1/4⁰ (27 x 22 cm.)	4to	NA	NA	FALSE	4to	22	28	0	616	1	480209	0	99.8
1/4⁰ (29 x 22 cm)	4to	NA	NA	FALSE	4to	22	28	0	616	1	480210	0	99.8
1/4⁰ (9 x 20 cm)	4to	NA	NA	FALSE	4to	22	28	0	616	1	480211	0	99.8
1/4⁰ + 54 engraved playing cards.	4long	NA	NA	FALSE	4long	27	35	0	945	1	480212	0	99.8
1/4⁰ parchnent.	4to	NA	NA	FALSE	4to	22	28	0	616	1	480213	0	99.8
1/4mo.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480214	0	99.8
1/4�	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480215	0	99.8
1/5⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480216	0	99.8
1/6°.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480217	0	99.8
1/6⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480218	0	99.8
1/72⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480219	0	99.8
1/8⁰ (11 x 22 cm)	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	480220	0	99.8
1/8⁰ oblong slip.	8vo	NA	NA	TRUE	8vo	19	13	1	247	1	480221	0	99.8
1/obl.fol.	2fo	NA	NA	TRUE	2fo	45	30	1	1350	1	480222	0	99.8
1$⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480223	0	99.8
1⁰ (41 x 27 cm).	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	480224	0	99.8
1⁰ (42 x 34 cm.)	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	480225	0	99.8
1⁰ (48 x 38 cm)	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	480226	0	99.8
1⁰ (50 x 30 cm)	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	480227	0	99.8
1⁰ (53 cm.).	1to	NA	53	FALSE	2fo	33	53	0	1749	1	480228	0	99.8
1⁰ (54 x 40 cm)	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	480229	0	99.8
1⁰ (58 x 47 cm)	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	480230	0	99.8
1⁰ and obl.1/2⁰.	NA	NA	NA	TRUE	NA	NA	NA	1	NA	1	480231	0	99.8
10 cm (16⁰ in 8s)	16mo	NA	10	FALSE	16mo	7	10	0	70	1	480232	0	99.8
10 cm. (12m)	NA	NA	10	FALSE	16mo	7	10	0	70	1	480233	0	99.8
10 cm. (16⁰)	16mo	NA	10	FALSE	16mo	7	10	0	70	1	480234	0	99.8
10 cm. (32 mo)	32mo	NA	10	FALSE	32mo	6	10	0	60	1	480235	0	99.8
10 cm. 12⁰	12mo	NA	10	FALSE	12mo	10	14	0	140	1	480236	0	99.8
1⁰ obl.	1to	NA	NA	TRUE	2fo	45	30	1	1350	1	480237	0	99.8
10 x 10 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480238	0	99.8
10 x 11 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480239	0	99.8
10 x 14 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480240	0	99.8
10 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480241	0	99.8
10 x 6 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480242	0	99.8
10 x 7 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480243	0	99.8
1⁰,	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	480244	0	99.8
1⁰?	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	480245	0	99.8
1⁰.̊	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	480246	0	99.8
1⁰. set fun cat mai/upd	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	480247	0	99.8
1⁰.; broadsheet	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	480248	0	99.8
1⁰/2.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480249	0	99.8
11 cm	NA	NA	11	FALSE	NA	8	11	NA	88	1	480250	0	99.8
11 cm (12⁰)	12mo	NA	11	FALSE	12mo	11	15	0	165	1	480251	0	99.8
11 cm (16⁰)	16mo	NA	11	FALSE	16mo	8	11	0	88	1	480252	0	99.8
11 cm (8⁰)	8vo	NA	11	FALSE	8vo	11	15.5	0	170.5	1	480253	0	99.8
11 cm. (?0.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480254	0	99.8
11 cm. (32o)	NA	NA	11	FALSE	NA	8	11	NA	88	1	480255	0	99.8
11 cm. 16⁰	16mo	NA	11	FALSE	16mo	8	11	0	88	1	480256	0	99.8
11 x 11 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480257	0	99.8
11 x 13 cm. (16 mo)	16mo	NA	NA	FALSE	16mo	12	15	0	180	1	480258	0	99.8
11 x 14 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480259	0	99.8
11 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480260	0	99.8
11 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480261	0	99.8
11 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480262	0	99.8
11 x 5 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480263	0	99.8
11 x 9 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480264	0	99.8
11cm.	NA	NA	11	FALSE	NA	8	11	NA	88	1	480265	0	99.8
12	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	1	480266	0	99.8
12 cm (12⁰)	12mo	NA	12	FALSE	12mo	12	17.5	0	210	1	480267	0	99.8
12 cm (8⁰)	8vo	NA	12	FALSE	8vo	12	17.5	0	210	1	480268	0	99.8
